ID,Category,Subcategory,Query,Success,Latency_ms,Cache_Type,Similarity,Context_Compressed,Query_Compressed,Compression_Ratio,Compression_Savings,Complexity,Strategy,Tokens_Used,Tokens_Saved,Savings_%,Reward,Error
1,exact_cache,first_occurrence,What is Python programming language?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
2,exact_cache,exact_repeat,What is Python programming language?,True,4,exact,,False,False,1.00,0,simple,cheap,0,313,0.0,,
3,exact_cache,first_occurrence,Explain what machine learning is,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
4,exact_cache,exact_repeat,Explain what machine learning is,True,2,exact,,False,False,1.00,0,simple,cheap,0,312,0.0,,
5,exact_cache,first_occurrence,What are the benefits of cloud computing?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
6,exact_cache,exact_repeat,What are the benefits of cloud computing?,True,3,exact,,False,False,1.00,0,simple,cheap,0,315,0.0,,
7,semantic_cache,seed_query,What is artificial intelligence and how does it work?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
8,semantic_cache,high_similarity,Explain artificial intelligence and its workings,True,28,semantic_direct,0.855,False,False,1.00,0,simple,cheap,0,317,0.0,,
9,semantic_cache,medium_similarity,Tell me about AI technology,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
10,semantic_cache,seed_query,What is deep learning and neural networks?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
11,semantic_cache,high_similarity,Explain deep learning with neural network examples,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
12,semantic_cache,medium_similarity,How do neural nets learn?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
13,semantic_cache,low_similarity,What is quantum computing?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
14,semantic_cache,context_test,Describe how AI systems are built,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
15,compression,long_query,Please summarize this text and extract key points: The quick brown fox jumps ove,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
16,compression,long_query,Analyze this document and provide insights: Machine learning is a subset of arti,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
17,compression,long_query,"Extract the main ideas from: Data science combines statistics, programming, and ",False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
18,compression,long_query,Summarize and explain: Cloud computing provides on-demand access to computing re,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
19,compression,medium_query,Explain the concept of containerization in software development and how Docker w,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
20,compression,short_query,What is Kubernetes?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
21,compression,context_compression,Compare artificial intelligence approaches,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
22,compression,context_compression,How is deep learning different from traditional ML?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
23,orchestrator,simple,Hi,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
24,orchestrator,simple,2+2?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
25,orchestrator,simple,What is the capital of Japan?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
26,orchestrator,medium,Compare Python and JavaScript for web development,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
27,orchestrator,medium,What are the pros and cons of microservices architecture?,False,0,miss,,False,False,1.00,0,,,0,0,0.0,,BanditOptimizer.compute_reward_routerbench() got an unexpected keyword argument 'judge_result'
