ID,Category,Query,Success,Latency_ms,Cache_Hit,Cache_Type,Tokens_Saved,Savings_%,LLMLingua_Used,Compression_Ratio,Strategy,Error
1,cache_exact,What is Python?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
2,cache_exact,What is Python?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
3,cache_exact,What is Python?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
4,cache_exact,Explain machine learning,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
5,cache_exact,Explain machine learning,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
6,semantic,What is artificial intelligence?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
7,semantic,Tell me about AI,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
8,semantic,Explain AI technology,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
9,semantic,What is deep learning?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
10,semantic,Explain neural networks and deep learning,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
11,compression,Summarize this: The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
12,compression,Analyze this document: Machine learning is a subset of artificial intelligence. Machine learning is ,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
13,compression,"Extract key points from: Data science involves statistics, programming, and domain knowledge. Data s",False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
14,orchestrator_simple,Hi,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
15,orchestrator_simple,What time is it?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
16,orchestrator_complex,Explain the theory of relativity and its implications for modern physics,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
17,orchestrator_complex,Write a comprehensive analysis of global economic trends in 2024,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
18,orchestrator_medium,Compare and contrast three programming paradigms with examples,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
19,bandit_cheap,Quick answer: 2+2?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
20,bandit_premium,Explain quantum computing in detail with examples,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
21,bandit_balanced,What is the capital of France?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
22,bandit_balanced,List 5 programming languages,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
23,bandit_premium,Solve this optimization problem: minimize x^2 + y^2,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
24,preferences,Explain cloud computing,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
25,preferences,Tell me about databases in a technical way,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
26,preferences,Give me a simple explanation of APIs,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
27,preferences,List the benefits of microservices,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
28,edge_case,,False,0.0,False,,0,0.0,False,1.00,,Empty query
29,edge_case,x,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
30,edge_case,????????????????????????????????????????????????????????????????????????????????????????????????????,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
31,edge_case,What is very very very very very very very very very very very very very very very very very very ve,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
32,multiturn,What is React?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
33,multiturn,How does it compare to Vue?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
34,multiturn,Which one should I use for a large project?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
35,technical,What is the time complexity of quicksort?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
36,technical,Explain the CAP theorem in distributed systems,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
37,technical,What are SOLID principles?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
38,technical,Describe the difference between REST and GraphQL,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
39,quality,Write a haiku about programming,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
40,quality,Explain blockchain to a 5-year-old,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
41,quality,What are best practices for code review?,False,0.0,False,,0,0.0,False,1.00,,TokenomicsPlatform.query() got an unexpected keyword argument 'track_metrics'
